,name,salary,company,additional,skills,date
2678,QA инженер ,,Eltex,"['Новосибирск', 'Полный рабочий день']","['Инженер по обеспечению качества', 'Docker', 'Linux', 'Python', 'Bash']",24 мая
2679,Fullstack developer,,БурСервис,"['Москва', 'Санкт-Петербург', 'Тюмень', 'Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Средний (Middle)', 'ASP.NET MVC', 'C#', 'Entity framework', 'JavaScript', 'React', 'Angular.js', 'Angular', 'Node.js', 'TypeScript', 'JQuery']",24 мая
2680,Системный аналитик,,БурСервис,"['Тюмень', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'SQL', 'UML', 'BPMN', 'Системный анализ', 'Анализ требований']",24 мая
2681,Fullstack Developer / Фулстек разработчик,,Qvant,"['Санкт-Петербург', 'Полный рабочий день']","['Фулстек разработчик', 'Средний (Middle)', 'Vue.js', 'Node.js']",24 мая
2682,QA Engineer (Senior),,X5 Tech,"['Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Старший (Senior)', 'SQL', 'REST', 'Postman', 'Функциональное тестирование', 'Ручное тестирование', 'Тестирование мобильных приложений', 'Тестирование API', 'Разработка тест-кейсов']",24 мая
2683,QA Automation Engineer (Senior),,X5 Tech,"['Полный рабочий день', 'Можно удаленно']","['Инженер по автоматизации тестирования', 'Старший (Senior)', 'Python', 'Java', 'JavaScript']",24 мая
2684,Руководитель команды тестирования / QA Lead,,X5 Tech,"['Полный рабочий день', 'Можно удаленно']","['Инженер по автоматизации тестирования', 'Ведущий (Lead)', 'Python', 'CI/CD', 'Docker', 'Apache Kafka', 'Базы данных', 'Управление людьми', 'Тестирование API', 'Тестирование ПО']",24 мая
2685,Главный специалист (сопровождение СКЗИ в системах ЭДО),,ПСБ цифровая лаборатория,"['Москва', 'Полный рабочий день']","['Администратор защиты', 'Старший (Senior)', 'Криптография']",24 мая
2686,Инженер работы с данными,от 250 000 ₽,Heaven 11,"['Полный рабочий день', 'Можно удаленно']","['Инженер по данным', 'Средний (Middle)', 'MySQL', 'Git', 'Bash', 'CI/CD']",24 мая
2687,DevOps- инженер,до 300 000 ₽,Fplus,"['Санкт-Петербург', 'Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'CI/CD', 'Jenkins', 'Jira', 'Bash', 'Python', 'Zabbix']",24 мая
2688,Системный аналитик,,ФИНФОРТ,"['Москва', 'Астрахань', 'Краснодар', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'SQL', 'REST', 'UML', 'Системный анализ']",24 мая
2689,Руководитель команды разработки в направление Shared Services,,Авито,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Golang']",24 мая
2690,Frontend-разработчик (React),от 150 000 до 200 000 ₽,Else,"['Ростов-на-Дону', 'Аксай', 'Полный рабочий день']","['Фронтенд разработчик', 'React', 'JavaScript']",24 мая
2691,Преподаватель по Unity 3D ,от 30 000 до 80 000 ₽,CODDY,"['Москва', 'Неполный рабочий день', 'Можно удаленно']","['Разработчик игр', 'Стажёр (Intern)', 'Unity3d', 'C#']",24 мая
2692,Системный аналитик,,METATIME,"['Саратов', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'Анализ данных', 'Разработка ТЗ', 'Agile', 'Jira', 'Postman']",24 мая
2693,Системный аналитик,,ИТ-Элемент29,"['Москва', 'Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'MySQL', 'Python']",24 мая
2694,Ведущий бизнес-аналитик (Data Governance),,ИТ-Элемент29,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бизнес-аналитик', 'Бизнес аналитика', 'SQL', 'ETL']",24 мая
2695,Преподаватель курсов по разработке игр,от 30 000 до 60 000 ₽,CODDY,"['Неполный рабочий день', 'Можно удаленно']","['Разработчик игр', 'Стажёр (Intern)', 'C#', 'Unity3d', 'C++', 'Unreal Engine']",23 мая
2696,Integration Developer,от 40 000 ₽,DBI,"['Полный рабочий день', 'Можно удаленно']","['ERP-программист', 'Стажёр (Intern)', 'SQL', 'Базы данных', 'Английский язык', 'Python', 'API Интерфейсы']",23 мая
2697,Программист - разработчик 1С,от 190 000 до 230 000 ₽,Axelsoft,"['Полный рабочий день', 'Можно удаленно']","['Программист 1С', 'Средний (Middle)', 'Разработка под 1С']",23 мая
2698,Data Engineer (Middle),,Valiotti Analytics,"['Полный рабочий день', 'Можно удаленно']","['Инженер по данным', 'Средний (Middle)', 'SQL', 'Python', 'Английский язык', 'Apache Airflow', 'Apache Kafka', 'ClickHouse', 'Bash', 'MySQL', 'ETL']",23 мая
2699,PHP / Middle+ Laravel Developer,от 200 000 до 300 000 ₽,kingboost,"['Москва', 'Минск', 'Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Средний (Middle)', 'SQL', 'PHP', 'Laravel', 'MySQL', 'PostgreSQL', 'Jira']",23 мая
2700,Аналитик bi,до 190 000 ₽,Бристоль,"['Москва', 'Полный рабочий день']","['Аналитик по данным', 'Младший (Junior)', 'SQL', 'BI', 'Python']",23 мая
2701,3D Аниматор персонажей,,Honey Badger,"['Неполный рабочий день', 'Можно удаленно']","['3d-аниматор', 'Средний (Middle)', '3d анимация']",23 мая
2702,Backend-разработчик PHP,от 150 000 ₽,Beetbarrel,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'PHP', 'PostgreSQL', 'Docker', 'Git', 'Linux', 'Zend Framework']",23 мая
2703,Senior Python developer,,BI.ZONE,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'RESTful API', 'PostgreSQL', 'Django', 'Python']",23 мая
2704,QA Engineer,от 110 000 до 130 000 ₽,A2SEVEN,"['Таганрог', 'Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Средний (Middle)', 'Postman', 'Swagger', 'Тестирование API', 'ELK Stack', 'SOLID', 'ООП', 'Apache Kafka', 'RabbitMQ', 'SQL']",23 мая
2705,Системный аналитик,,Городские Технологии,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'UML', 'BPMN', 'Системный анализ', 'Системная аналитика', 'JTBD']",23 мая
2706,Разработчик Битрикс24,от 70 000 до 80 000 ₽,1С-Архитектор бизнеса,"['Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Младший (Junior)', 'Битрикс24']",23 мая
2707,Ведущий специалист по кадровому делопроизводству,,BIA-Technologies,"['Санкт-Петербург', 'Полный рабочий день']","['Менеджер по персоналу', 'Ведущий (Lead)', 'Кадровое делопроизводство']",23 мая
2708,Рекрутер / Ресечер (IT),,Action tech,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Менеджер по найму', 'Младший (Junior)', 'Рекрутмент', 'Проведение интервью', 'Onboarding']",23 мая
2709,Team Lead PHP/Golang,,Action tech,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Ведущий (Lead)', 'ООП', 'Golang', 'PHP', 'Symfony', 'SQL']",23 мая
2710,Fullstack developer (JS/PHP),от 200 000 ₽,Осмокод,"['Москва', 'Санкт-Петербург', 'Полный рабочий день']","['Фулстек разработчик', 'Старший (Senior)', 'JavaScript', 'PHP']",23 мая
2711,DBA / Database administrator,,ЕДИНЫЙ ЦУПИС,"['Москва', 'Санкт-Петербург', 'Полный рабочий день', 'Можно удаленно']","['Администратор баз данных', 'Старший (Senior)', 'PostgreSQL', 'ClickHouse', 'NoSQL', 'MongoDB', 'Redis']",23 мая
2712,Системный администратор Linux (middle),,ЕДИНЫЙ ЦУПИС,"['Москва', 'Санкт-Петербург', 'Полный рабочий день', 'Можно удаленно']","['Системный администратор', 'Средний (Middle)', 'Linux', 'Kubernetes', 'Мониторинг']",23 мая
2713,Product manager,,Строительный Двор,"['Москва', 'Тюмень', 'Полный рабочий день']","['Менеджер продукта', 'Средний (Middle)', 'Ведение переговоров', 'Управление проектами', 'Управление людьми', 'Agile', 'Построение команды', 'Развитие бизнеса', 'Бюджетирование проектов', 'Организация бизнес-процессов']",23 мая
2714,Разработчик C#,,Строительный Двор,"['Москва', 'Тюмень', 'Полный рабочий день', 'Можно удаленно']","['Фронтенд разработчик', 'Средний (Middle)', 'C#', '.NET', 'Git', 'SQL']",23 мая
2715,Java-разработчик,,Строительный Двор,"['Москва', 'Тюмень', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Hibernate', 'Gradle', 'Java Spring Framework', 'PostgreSQL', 'Kubernetes', 'Java', 'Apache Maven', 'Junit', 'Docker']",23 мая
2716,Digital Brand Manager,,S8.Capital,"['Москва', 'Полный рабочий день']","['Менеджер по маркетингу', 'Старший (Senior)', 'Стратегический маркетинг', 'Контент маркетинг', 'Разработка бизнес-стратегии', 'Создание креативных концепций', 'Исследование рынка', 'Медиапланирование']",23 мая
2717,Системный администратор Linux,,Notamedia,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный администратор', 'Средний (Middle)', 'PHP', 'Linux', 'MySQL', 'KVM', 'Zabbix', 'Nginx', 'Apache']",23 мая
2718,Менеджер по продажам IT оборудования,до 70 000 ₽,Фигура Айти,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Менеджер по продажам', 'Стажёр (Intern)', 'B2B', 'Продажи']",23 мая
2719,Senior Go-разработчик (команда рекламной платформы),,СберМаркет Tech,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Golang', 'DDD', 'Apache Kafka', 'PostgreSQL', 'Redis', 'ООП']",23 мая
2720,Старший DevOps инженер,,Страна Девелопмент,"['Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'Kubernetes', 'CI/CD', 'ELK Stack', 'GitLab', 'DevOps', 'Grafana']",23 мая
2721,Системный аналитик ,,arcsinus,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'REST', 'Анализ требований', 'Системный анализ', 'Спецификация программного обеспечения', 'Техническая документация', 'UML', 'Системная аналитика', 'BPMN', 'ER-диаграммы']",23 мая
2722,Разработчик C#,,Tennisi,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'C#', 'ASP.NET', '.NET Core', 'WPF']",23 мая
2723,Аналитик 1С: ERP,,Fplus,"['Полный рабочий день', 'Можно удаленно']","['Аналитик 1С', 'Средний (Middle)', 'Администрирование 1С', '1C: ERP']",23 мая
2724,Senior Product Designer ,,Health Samurai,"['Полный рабочий день', 'Можно удаленно']","['Продуктовый дизайнер', 'Figma Design', 'UI/UX дизайн', 'Разработка интерфейсов', 'Проектирование интерфейсов', 'Исследование пользователя', 'Дизайн продукта', 'Разработка фирменного стиля']",23 мая
2725,Android разработчик,от 150 000 до 350 000 ₽,MOST,"['Неполный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Средний (Middle)', 'Java', 'Разработка под Android', 'Разработка мобильных приложений', 'Google Firebase']",23 мая
2726,Аналитик (группа операционного анализа),от 97 400 ₽,Деловые Линии,"['Санкт-Петербург', 'Краснодар', 'Ростов-на-Дону']","['Аналитик продаж', 'Средний (Middle)', 'SQL', 'Microsoft Excel', 'PowerBI', 'Qlik Sense', 'QlikView']",23 мая
2727,Senior PHP developer ,от 250 000 до 400 000 ₽,EVERA PEOPLE,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'PHP', 'ООП', 'Высоконагруженные системы', 'PostgreSQL', 'MySQL', 'Redis', 'Elasticsearch']",23 мая
2728,Специалист Технической Поддержки (Чат Менеджер),от 50 000 до 90 000 ₽,Rails,"['Полный рабочий день', 'Можно удаленно']","['Менеджер технической поддержки', 'Стажёр (Intern)', 'Microsoft Excel', 'Анализ данных']",23 мая
2729,Интернет-маркетолог ,от 100 000 ₽,Рубикон,"['Санкт-Петербург', 'Полный рабочий день']","['Менеджер по маркетингу', 'Средний (Middle)', 'Интернет маркетинг', 'Маркетинговые исследования', 'Google Analytics', 'Яндекс.Метрика']",23 мая
2730,Аналитик (1С),от 180 000 ₽,Рубикон,"['Санкт-Петербург', 'Полный рабочий день']","['Системный аналитик', 'Старший (Senior)', 'Системная аналитика', 'Системный анализ']",23 мая
2731,Программист 1С,,Tagras Digital,"['Полный рабочий день', 'Можно удаленно']","['Программист 1С', 'Средний (Middle)', 'Разработка под 1С']",23 мая
2732,DevOps- инженер ,от 250 000 до 320 000 ₽,sodis lab,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Старший (Senior)', 'Kubernetes', 'Docker', 'Git']",23 мая
2733,Frontend Developer React (ОФИС),от 120 000 до 180 000 ₽,SpectrumData,"['Екатеринбург', 'Полный рабочий день']","['Фронтенд разработчик', 'Средний (Middle)', 'GraphQL', 'React', 'Redux', 'TypeScript', 'JavaScript']",23 мая
2734,Ведущий программист (Vue.js/GraphQl),,Страна Девелопмент,"['Тюмень', 'Полный рабочий день', 'Можно удаленно']","['Фронтенд разработчик', 'Старший (Senior)', 'GraphQL', 'Apollo', 'TypeScript', 'Vue.js']",23 мая
