,name,salary,company,additional,skills,date
0,Golang-разработчик в 2GIS.KIT,,2GIS,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Golang', 'PostgreSQL']",5 июня
1,System Analyst (OSMP),,Лаборатория Касперского,['Можно удаленно'],"['Системный аналитик', 'Бизнес аналитика', 'Системный анализ']",5 июня
2,Fullstack QA engineer (C#),от 200 000 ₽,Альфа-Банк,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Инженер по автоматизации тестирования', 'Средний (Middle)', 'C#', 'Selenium']",5 июня
3,Инженер-аналитик L2 мониторинга SOC,,Бастион,"['Красноярск', 'Новосибирск', 'Тюмень', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'Мониторинг', 'Информационная безопасность']",5 июня
4,Инженер-аналитик L2 мониторинга SOC,,Бастион,"['Владивосток', 'Находка', 'Уссурийск', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'Мониторинг', 'Информационная безопасность']",5 июня
5,IOS разработчик в Яндекс Еду,,Яндекс,"['Москва', 'Санкт-Петербург', 'Казань', 'Полный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Старший (Senior)', 'Swift', 'SwiftUI', 'Разработка под iOS', 'UIKit']",5 июня
6,Разработчик мобильных приложений (Cocos2d/Defold/Solar2d/Starling) webview,от 1000 $,MST,"['Неполный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Веб-разработка']",5 июня
7,Ведущий разработчик 1С (удаленно),от 250 000 до 300 000 ₽,Сервис РАКЕТА,"['Полный рабочий день', 'Можно удаленно']","['Программист 1С', 'Старший (Senior)', 'Разработка под 1С']",5 июня
8,Fullstack-разработчик с опытом разработки веб-приложений,от 100 000 до 300 000 ₽,Landmark Center,"['Неполный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Веб-разработка', 'JavaScript', 'HTML', 'CSS', 'PostgreSQL', 'React']",5 июня
9,PHP / Bitrix-разработчик ,от 160 000 ₽,ДАЛЕЕ,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'CMS «1С-Битрикс»', 'PHP']",5 июня
10,Системный аналитик,от 150 000 ₽,ДАЛЕЕ,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'REST', 'Apache Kafka', 'SQL', 'Системный анализ']",5 июня
11,Разработчик фронтенда в Конструктор лендингов,от 220 000 до 350 000 ₽,Яндекс,"['Екатеринбург', 'Нижний Новгород', 'Полный рабочий день']","['Фронтенд разработчик', 'Средний (Middle)', 'JavaScript', 'TypeScript', 'React', 'HTML', 'CSS', 'Node.js']",5 июня
12,Разработчик в Yandex DevPlatform,от 270 000 до 400 000 ₽,Яндекс,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Golang', 'Kotlin']",5 июня
13,Разработчик 1С в Едадил,,Яндекс,"['Москва', 'Полный рабочий день']","['Программист 1С', 'Средний (Middle)', 'SQL']",5 июня
14,Senior iOS разработчик [NUUM],,МТС,"['Москва', 'Полный рабочий день']","['Разработчик мобильных приложений', 'Старший (Senior)', 'UIKit', 'Swift', 'SwiftUI', 'Разработка под iOS', 'Разработка мобильных приложений']",5 июня
15,Java разработчик,,T-Bank,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Spring Boot', 'Java Spring Framework', 'Docker', 'Высоконагруженные системы', 'Kubernetes', 'Apache Kafka', 'PostgreSQL', 'RabbitMQ', 'MySQL']",5 июня
16,Тестировщик роботизированных процессов,,X5 Tech,"['Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Средний (Middle)', 'SQL', 'REST', 'Функциональное тестирование', 'Ручное тестирование', 'Тестирование API', 'Разработка тест-кейсов', 'Автоматизация процессов', 'Python', 'Разработчик RPA']",5 июня
17,Системный аналитик (удаленно),,ИТ-компания «Лоция»,"['Москва', 'Санкт-Петербург', 'Казань', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'SQL', 'Бизнес аналитика', 'BPMN', 'UML', 'Анализ требований', 'Системный анализ', 'Разработка ТЗ', 'XML', 'Техническая документация', 'Проектирование информационных систем']",5 июня
18,Solution Architect,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Архитектор программного обеспечения', '.NET', 'Python', 'Golang', 'Node.js', 'Kotlin', 'Scala', 'Perl', 'PostgreSQL', 'ClickHouse', 'Tarantool']",5 июня
19,Data инженер,,Bell Integrator,"['Казань', 'Нижний Новгород', 'Уфа', 'Полный рабочий день', 'Можно удаленно']","['Разработчик баз данных', 'Старший (Senior)', 'Apache Hadoop', 'Greenplum', 'Apache Spark', 'Базы данных', 'Apache Kafka']",5 июня
20,Data инженер,,Bell Integrator,"['Москва', 'Санкт-Петербург', 'Калининград', 'Полный рабочий день', 'Можно удаленно']","['Разработчик баз данных', 'Старший (Senior)', 'Apache Hadoop', 'Greenplum', 'Apache Spark', 'Базы данных', 'Apache Kafka']",5 июня
21,middle/senior Системный аналитик (МТС Голосовая экосистема),,МТС,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'UML', 'BPMN', 'REST', 'JSON', 'XML', 'SOAP', 'Системный анализ', 'Системная аналитика']",5 июня
22,Инженер виртуализации второй линии технической поддержки MWS (#CloudMTS),,МТС,"['Москва', 'Полный рабочий день']","['Системный администратор', 'Средний (Middle)', 'VMware']",5 июня
23,Deep Learning Engineer в команду Perception,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Python', 'C++', 'PyTorch']",5 июня
24,Deep learning engineer в End-2-End self driving,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Python', 'Алгоритмы и структуры данных', 'Deep Learning']",5 июня
25,Deep Learning Engineer (Motion Prediction),,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Python', 'C++', 'Алгоритмы и структуры данных', 'Deep Learning']",5 июня
26,Бизнес-аналитик (Fullstack),,Hoff Tech,"['Полный рабочий день', 'Можно удаленно']","['Бизнес-аналитик', 'Средний (Middle)', 'BPMN', 'Jira']",5 июня
27,Программист С++,от 180 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Разработчик приложений', 'C++', 'Python', 'Boost', 'Qt', 'C++ boost', 'QML', 'Git']",5 июня
28,Руководитель отдела разработки программного обеспечения,от 250 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Директор проекта', 'С++ builder', 'Python', 'Git', 'Qt', 'Jira', 'TCP', 'QML', 'Просмотр кода', 'PostgreSQL']",5 июня
29,Программист ПЛИС,от 180 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Инженер встраиваемых систем', 'Средний (Middle)', 'SystemVerilog']",5 июня
30,Руководитель группы Интеграции данных и Локального окружения,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Python', 'C++']",5 июня
31,Developer C++ (Light Agent),,Лаборатория Касперского,['Можно удаленно'],"['Бэкенд разработчик', 'Разработка программного обеспечения', 'C++']",5 июня
32,Сетевой инженер второй линии технической поддержки MWS (#CloudMTS),,МТС,"['Москва', 'Полный рабочий день']","['Сетевой инженер', 'Средний (Middle)', 'Сетевые технологии']",5 июня
33,Разработчик .net (Депозитарий),,Холдинг Т1,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'RabbitMQ', 'ASP.NET', 'PostgreSQL', 'Apache Kafka', 'Высоконагруженные системы', 'C#', '.NET', '.NET Core', 'ASP.NET MVC', 'Git']",5 июня
34,Инженер данных DWH в Маркет,,Яндекс,"['Москва', 'Санкт-Петербург', 'Полный рабочий день']","['Бэкенд разработчик', 'Python', 'SQL', 'ClickHouse', 'Java', 'C++', 'ETL', 'Apache Hadoop', 'DWH']",5 июня
35,Архитектор интеграционной платформы (Senior integration platform architect) ,,Bell Integrator,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Архитектор программного обеспечения', 'Ведущий (Lead)', 'Red Hat Linux', 'SQL', 'DevOps', 'Создание архитектуры проектов', 'Микросервисная архитектура']",5 июня
36,Руководитель группы Восприятия (Разработка технологии автономного вождения),,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Python', 'Deep Learning', 'PyTorch', 'Машинное обучение']",5 июня
37,Тимлид платформы DWH в Маркет,,Яндекс,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Python', 'Java', 'C++', 'Golang', 'ClickHouse', 'SQL', 'OLAP', 'Mapreduce']",5 июня
38,Специалист по подбору персонала,,CHOICEIT,"['Неполный рабочий день', 'Можно удаленно']","['Менеджер по найму', 'Стажёр (Intern)', 'Подбор специалистов', 'Рекрутмент', 'Поиск талантов']",5 июня
39,Ведущий Python разработчик в команду автоматизации процессов,,VK,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Python', 'Jenkins', 'TeamCity']",5 июня
40,SDET в Еду,,Яндекс,"['Москва', 'Санкт-Петербург', 'Полный рабочий день']","['Инженер по автоматизации тестирования', 'Старший (Senior)', 'Python', 'Playwright', 'JavaScript']",5 июня
41,DevOps-инженер в Почту Mail.ru,,VK,"['Москва', 'Санкт-Петербург', 'Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'Linux', 'Golang', 'Python', 'Docker', 'Kubernetes']",5 июня
42,Middle/Senior Frontend (React+Angular) разработчик [Partner Experience Platform],,МТС,"['Полный рабочий день', 'Можно удаленно']","['Фронтенд разработчик', 'Средний (Middle)', 'JavaScript', 'TypeScript', 'React', 'Angular']",5 июня
43,Главный системный аналитик (импортозамещение),,Холдинг Т1,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'UML', 'BPMN']",5 июня
44,Senior Java Developer (Служба каталогов),,Холдинг Т1,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Java Spring Framework', 'Spring Boot']",5 июня
45,DevOps (Антифрод),,Холдинг Т1,"['Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Старший (Senior)', 'Kubernetes', 'Docker', 'CI/CD', 'TeamCity']",5 июня
46,Lead  DevOps инженер (блокчейн),,Холдинг Т1,"['Москва', 'Полный рабочий день']","['DevOps-инженер', 'Ведущий (Lead)', 'Kubernetes', 'GitLab', 'Jenkins', 'TeamCity', 'Ansible', 'Terraform', 'Puppet', 'Chef', 'Linux']",5 июня
47,Главный системный аналитик,,Холдинг Т1,['Можно удаленно'],"['Системный аналитик', 'Старший (Senior)', 'BPMN', 'API Интерфейсы', 'Java']",5 июня
48,Senior java-разработчик (банковские сервисы),,Холдинг Т1,['Можно удаленно'],"['Бэкенд разработчик', 'Java', 'Spring Boot', 'PostgreSQL', 'Elasticsearch', 'Apache Kafka', 'Apache Hadoop']",5 июня
49,Архитектор решений (импортозамещение),,Холдинг Т1,['Можно удаленно'],"['Архитектор программного обеспечения', 'Старший (Senior)', 'Java', 'Kubernetes', 'PostgreSQL', 'Apache Kafka', 'RabbitMQ']",5 июня
50,Системный аналитик (Антифрод),,Холдинг Т1,['Можно удаленно'],"['Системный аналитик', 'Старший (Senior)', 'UML', 'BPMN', 'XML', 'SQL', 'Apache Kafka']",5 июня
51,Senior Java Developer,,Холдинг Т1,['Можно удаленно'],"['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Java Spring Framework', 'Apache Kafka', 'Hibernate', 'JDBC', 'Apache Maven', 'Gradle', 'Git', 'Kubernetes']",5 июня
52,Java developer middle+,,Холдинг Т1,['Можно удаленно'],"['Бэкенд разработчик', 'Средний (Middle)', 'Java', 'Java Spring Framework', 'Apache Kafka', 'Hibernate', 'JDBC', 'Apache Maven', 'Gradle', 'Git', 'Kubernetes']",5 июня
53,Fullstack TypeScript разработчик,,deeplay,"['Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Node.js', 'TypeScript']",5 июня
54,"Fullstack-разработчик (Python, Vue, Nuxt)",от 200 000 до 300 000 ₽,Finder,"['Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Средний (Middle)', 'Python', 'Git', 'PostgreSQL', 'Docker', 'Django', 'Vue.js', 'Nuxt.js', 'JavaScript', 'HTML', 'CSS']",5 июня
55,Менеджер продукта (сервис Хабр Карьера),от 200 000 до 300 000 ₽,Хабр,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Менеджер продукта', 'Управление людьми', 'Разработка ТЗ', 'Презентации']",5 июня
56,.NET Разработчик [Avalonia],,deeplay,"['Полный рабочий день', 'Можно удаленно']","['Десктоп разработчик', '.NET']",5 июня
57,Senior Backend Python Developer/Team Lead,от 350 000 до 400 000 ₽,Гринатом,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'SQL', 'Elasticsearch', 'FastAPI', 'Flask', 'Python']",5 июня
58,Руководитель направления web-дизайна,,Гринатом,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Веб дизайнер', 'Веб-дизайн', 'UI/UX дизайн', 'Дизайн продукта']",5 июня
59,Lead Java-разработчик,,СберКорус,"['Москва', 'Можно удаленно']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Java']",5 июня
60,Ручной тестировщик (QA),,BRICK,"['Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Стажёр (Intern)', 'Тестирование ПО', 'Ручное тестирование', 'Тестирование API', 'Веб-разработка', 'HTML', 'Разработка тест-кейсов', 'CSS', 'JavaScript', 'Postman', 'REST']",5 июня
61,Администратор сети (VMware),,SM Lab,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Сетевой инженер', 'VMware']",5 июня
62,Старший разработчик Python,,Okko,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Python', 'ООП', 'SOLID', 'SQL', 'NoSQL']",5 июня
63,Руководитель группы мобильной разработки,,САТЕЛ,"['Полный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Ведущий (Lead)', 'Разработка под Android', 'Разработка мобильных приложений', 'Разработка под iOS', 'Управление людьми', 'Построение команды']",5 июня
64,Go-developer в группу разработки CDN (Технический департамент VK),,VK,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Golang', 'Сетевые технологии', 'Nginx']",5 июня
65,Tech Lead в команду Sber AI,от 300 000 до 500 000 ₽,Сбер,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Java']",5 июня
66,Senior Go Developer (VK Predict),,VK,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Golang', 'Python', 'PostgreSQL']",5 июня
67,Python Developer (VK Workspace),,VK,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Python', 'Django', 'Docker', 'Linux', 'PostgreSQL', 'Базы данных']",5 июня
68,Senior Java разработчик (Проект СберСпасибо. Платформа),,СберСпасибо,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Java Spring Framework', 'Spring Boot', 'SQL', 'PostgreSQL', 'Hibernate', 'Junit']",5 июня
69,Советник/помощник руководителя (Карта Москвича) ,,ДИТ г. Москвы,"['Москва', 'Полный рабочий день']","['Менеджер проекта', 'Старший (Senior)', 'Управление проектами', 'Ведение переговоров', 'Управление людьми', 'Организация бизнес-процессов', 'Проектное планирование', 'Построение команды', 'Управление компанией', 'Управление IT-услугами', 'Планирование', 'Стратегическое планирование']",5 июня
70,Разработчик Java Lead,до 400 000 ₽,Bell Integrator,"['Ростов-на-Дону', 'Самара', 'Уфа', 'Полный рабочий день']","['Бэкенд разработчик', 'Java', 'Java Spring Framework', 'Hibernate', 'Docker', 'Apache Kafka', 'REST', 'SQL', 'PostgreSQL', 'Oracle', 'Apache Maven']",5 июня
71,Разработчик Java Lead,до 400 000 ₽,Bell Integrator,"['Томск', 'Полный рабочий день']","['Бэкенд разработчик', 'Java', 'Java Spring Framework', 'Git', 'SQL', 'PostgreSQL', 'Docker', 'Hibernate', 'Apache Kafka', 'REST', 'Apache Maven']",5 июня
72,Менеджер разработки,,Bell Integrator,"['Краснодар', 'Ростов-на-Дону', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Java', 'Python', 'Управление разработкой']",5 июня
73,"QA Engineer / Функциональный тестировщик (офис/гибрид, г.Москва)",,Bell Integrator,"['Москва', 'Полный рабочий день']","['Инженер по ручному тестированию', 'Средний (Middle)', 'SQL', 'REST', 'Apache Kafka', 'Web', 'SOAP', 'Функциональное тестирование', 'Тестирование API', 'JSON']",5 июня
74,DevOps инженер,от 4000 до 7000 $,GLOBAL GOLD,"['Киев', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'Python', 'Bash', 'Ansible', 'Puppet', 'Chef', 'Docker', 'Kubernetes', 'CI/CD', 'Jenkins']",5 июня
75,Руководитель направления ИТ в отдел развития (LDAP-каталоги),,Интер РАО – Управление сервисами,['Москва'],"['Системный администратор', 'Linux', 'Active directory', 'Zabbix', 'Администрирование Linux', 'Администрирование Windows', 'SQL']",5 июня
76,Инженер внедрения (руководство направлением - почтовые системы),,Интер РАО – Управление сервисами,['Москва'],"['Системный администратор', 'Linux', 'Active directory', 'Администрирование Windows', 'Администрирование Linux']",5 июня
77,Сетевой инженер,,Интер РАО – Управление сервисами,['Москва'],"['Сетевой инженер', 'Средний (Middle)', 'Zabbix', 'Администрирование оборудования Cisco', 'Grafana', 'Linux']",5 июня
78,"Backend Developer (Node.js), Remote 🔥",от 3800 до 6300 $,Fundraise Up,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Node.js', 'MongoDB', 'TypeScript', 'NestJS']",5 июня
79,Ведущий аналитик в СофтТелематику,,ТЕЛЕМАТИКА,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'Системная аналитика', 'BPMN', 'UML', 'Системный анализ', 'Описание бизнес-процессов', 'Управление требованиями к ПО', 'Анализ требований', 'Диаграммы связей', 'Проектирование информационных систем']",5 июня
80,"Fullstack Developer, Remote 🔥",от 3800 до 6500 $,Fundraise Up,"['Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Старший (Senior)', 'React', 'Vue.js', 'Webpack', 'TypeScript']",5 июня
81,Инженер cетевой безопасности,от 60 000 до 90 000 ₽,Yustas,"['Москва', 'Полный рабочий день']","['Инженер по безопасности', 'Младший (Junior)', 'Информационная безопасность', 'Администрирование сетей', 'Active directory', 'Маршрутизация', 'Сетевая безопасность', 'Администрирование оборудования Cisco', 'Виртуализация']",5 июня
82,Kotlin/Java разработчик в СофтТелематику,,ТЕЛЕМАТИКА,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Apache Cassandra', 'Elasticsearch', 'Kotlin', 'PostgreSQL', 'Java', 'Spring Boot']",5 июня
83,Администратор систем виртуализации ,от 60 000 ₽,Интер РАО – Управление сервисами,"['Саратов', 'Энгельс', 'Полный рабочий день']","['Системный администратор', 'Средний (Middle)', 'Виртуализация', 'VMware', 'DHCP', 'Xen', 'Linux', 'DNS']",5 июня
84,Системный аналитик,,МАЙНИТЕК,"['Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'Python', 'Алгоритмы и структуры данных', 'Разработка программного обеспечения', 'Linux', 'MySQL']",5 июня
85,DevOps инженер ,от 250 000 до 300 000 ₽,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'Kubernetes', 'Docker']",5 июня
86,Разработчик 1C,,Bell Integrator,"['Москва', 'Нижний Новгород', 'Уфа', 'Полный рабочий день', 'Можно удаленно']","['Программист 1С', 'Средний (Middle)', 'Разработка под 1С']",5 июня
87,Product Lead B2C FoodTech,,Магнит,"['Полный рабочий день', 'Можно удаленно']","['Менеджер продукта', 'Ведущий (Lead)', 'B2C']",5 июня
88,Разработчик на Java в службу платёжных систем Маркета,,Яндекс,"['Москва', 'Санкт-Петербург', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Kotlin']",5 июня
89,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день']","['Системный аналитик', 'SQL', 'XML', 'REST', 'Apache Kafka', 'RabbitMQ']",5 июня
90,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'MySQL', 'Высоконагруженные системы', 'Apache Kafka']",5 июня
91,Системный аналитик (CRM),,Bell Integrator,"['Волгоград', 'Воронеж', 'Калининград', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'REST', 'SOAP', 'BPMN', 'UML', 'SQL']",5 июня
92,Руководитель проекта,,Bell Integrator,['Москва'],"['Директор проекта', 'Управление проектами', 'Ведение переговоров']",5 июня
93,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST']",5 июня
94,Системный аналитик (Платежные транзакции),,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Java']",5 июня
95,Системный аналитик ,,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'Высоконагруженные системы']",5 июня
96,Системный аналитик (Тикетная система),,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Бизнес аналитика']",5 июня
97,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST']",5 июня
98,Системный аналитик ,,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'MySQL', 'PostgreSQL', 'REST', 'Apache Kafka', 'Высоконагруженные системы', 'RabbitMQ']",5 июня
99,Системный аналитик ( внедрения и развития СЭД),,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'BPMN', 'Системный анализ', 'Техническая документация']",5 июня
100,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST', 'Apache Kafka', 'MySQL', 'Высоконагруженные системы', 'PostgreSQL', 'RabbitMQ']",5 июня
101,Аналитик OSS,,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Разработка ТЗ']",5 июня
102,Fullstack QA Middle specialist,,Bell Integrator,"['Минск', 'Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Средний (Middle)', 'Git', 'Charles', 'Postman', 'Apache Kafka', 'Jenkins', 'Android studio', 'PostgreSQL', 'Java', 'Python', 'Docker']",5 июня
103,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST', 'PostgreSQL', 'Apache Kafka', 'Высоконагруженные системы', 'RabbitMQ']",5 июня
104,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST', 'RabbitMQ', 'Apache Kafka', 'PostgreSQL']",5 июня
105,Бизнес-аналитик (Новые кредитные продукты),,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Бизнес-аналитик', 'Бизнес аналитика']",5 июня
106,Системный аналитик ,,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'REST', 'XML']",5 июня
107,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST', 'PostgreSQL', 'Apache Kafka', 'Высоконагруженные системы', 'Проектирование архитектуры приложений']",5 июня
108,Системный аналитик (функциональный сервис обслуживания корпоративных клиентов),,Bell Integrator,"['Санкт-Петербург', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'ER-диаграммы', 'UML', 'BPMN', 'Системная аналитика', 'Системная интеграция']",5 июня
109,Системный аналитик ,,Bell Integrator,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL', 'XML', 'REST', 'RabbitMQ', 'Apache Kafka']",5 июня
110,Аналитик ЦФТ,,Bell Integrator,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'SQL']",5 июня
111,Системный аналитик (удаленно),,ИТ-компания «Лоция»,"['Москва', 'Санкт-Петербург', 'Нижний Новгород', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'SQL', 'BPMN', 'UML', 'Анализ требований', 'Системный анализ', 'Управление требованиями к ПО', 'Проектирование информационных систем']",5 июня
112,Technical Writer,,Axenix (ex. Accenture),"['Москва', 'Санкт-Петербург', 'Ростов-на-Дону', 'Полный рабочий день', 'Можно удаленно']","['Технический писатель', 'Средний (Middle)', 'BPMN', 'UML', 'Техническая документация']",5 июня
113,Главный специалист центра мониторинга ИБ ,,ИТ-компания «Лоция»,"['Москва', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'SIEM', 'IDS', 'Анализ вредоносных программ', 'Bash', 'Администрирование Windows', 'Powershell', 'Active directory', 'Сетевые технологии']",5 июня
114,Linux security specialist,,ИТ-компания «Лоция»,"['Москва', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'Linux', 'Docker', 'Kubernetes', 'GitLab', 'Ansible', 'ELK Stack']",5 июня
115,UX/UI Designer,от 2500 до 4000 $,bemo,"['Полный рабочий день', 'Можно удаленно']","['UI/UX дизайнер', 'Старший (Senior)', 'Adobe Photoshop', 'Sketch', 'Adobe Illustrator', 'UI/UX дизайн', 'Wireframes', 'Прототипирование', 'Графический дизайн', 'Исследование пользователя', 'Работа в команде', 'Создание креативных концепций']",5 июня
116,Software Development Engineer,от 3500 до 7000 $,bemo,"['Полный рабочий день', 'Можно удаленно']","['Системный инженер', 'Старший (Senior)', 'Python', 'Solidity', 'Функциональное программирование', 'Blockchain', 'Криптография', 'Многопоточность']",5 июня
117,Эксперт ELK (ИБ),,ИТ-компания «Лоция»,"['Москва', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'ELK Stack', 'SIEM', 'Анализ угроз', 'Linux', 'Python', 'Bash', 'CI/CD']",5 июня
118,"DevOps в направление ЭДО, Middle+",,Контур,"['Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'DevOps', 'Администрирование Linux', 'Администрирование Windows', 'Ansible', 'Git', 'Bash', 'Powershell', 'Системное администрирование', 'Python', 'Kubernetes']",5 июня
119,Руководитель проектов (карта Москвича) ,,ДИТ г. Москвы,"['Москва', 'Полный рабочий день']","['Менеджер проекта', 'Управление проектами', 'Ведение переговоров', 'Разработка ТЗ', 'Управление IT-услугами']",5 июня
